DateTime,Temperature,Humidity,Wind Speed,Power Consumption
1/1/17 0:00,6.559,73.8,0.083,34055.6962
1/1/17 0:10,6.414,74.5,0.083,29814.68354
1/1/17 0:20,6.313,74.5,0.08,29128.10127
1/1/17 0:30,6.121,75,0.083,28228.86076
1/1/17 0:40,5.921,75.7,0.081,27335.6962
1/1/17 0:50,5.853,76.9,0.081,26624.81013
1/1/17 1:00,5.641,77.7,0.08,25998.98734
1/1/17 1:10,5.496,78.2,0.085,25446.07595
1/1/17 1:20,5.678,78.1,0.081,24777.72152
1/1/17 1:30,5.491,77.3,0.082,24279.49367
1/1/17 1:40,5.516,77.5,0.081,23896.70886
1/1/17 1:50,5.471,76.7,0.083,23544.3038
1/1/17 2:00,5.059,78.6,0.081,23003.5443
1/1/17 2:10,4.968,78.8,0.084,22329.11392
1/1/17 2:20,4.975,78.9,0.083,22092.1519
1/1/17 2:30,4.897,79.1,0.083,21903.79747
1/1/17 2:40,5.02,79.7,0.081,21685.06329
1/1/17 2:50,5.407,78.5,0.082,21484.55696
1/1/17 3:00,5.169,77.9,0.083,21107.8481
1/1/17 3:10,5.081,77.7,0.084,20998.48101
1/1/17 3:20,5.041,77.2,0.081,20870.88608
1/1/17 3:30,5.034,76.9,0.083,20870.88608
1/1/17 3:40,4.896,76.6,0.085,20597.46835
1/1/17 3:50,4.805,76.2,0.081,20421.26582
1/1/17 4:00,4.753,75.7,0.083,20524.55696
1/1/17 4:10,4.901,74.4,0.083,20482.02532
1/1/17 4:20,5.203,74.1,0.085,20530.63291
1/1/17 4:30,5.394,71.9,0.081,20512.40506
1/1/17 4:40,5.156,74,0.079,20494.17722
1/1/17 4:50,5.179,74.2,0.083,20311.89873
1/1/17 5:00,4.934,72.9,0.082,20542.78481
1/1/17 5:10,4.718,75.8,0.08,20621.77215
1/1/17 5:20,5.546,74,0.082,20627.8481
1/1/17 5:30,4.658,73.5,0.08,20797.97468
1/1/17 5:40,4.382,76.9,0.081,20858.73418
1/1/17 5:50,4.212,78.3,0.081,21393.41772
1/1/17 6:00,4.308,77.2,0.081,22219.74684
1/1/17 6:10,4.735,74.3,0.08,21928.10127
1/1/17 6:20,4.769,75.6,0.082,21776.20253
1/1/17 6:30,4.92,73.7,0.083,21654.68354
1/1/17 6:40,4.408,76.7,0.082,21466.32911
1/1/17 6:50,4.29,77,0.085,20846.58228
1/1/17 7:00,4.304,76,0.082,19983.79747
1/1/17 7:10,4.513,74.6,0.084,18908.35443
1/1/17 7:20,4.489,74.3,0.082,18167.08861
1/1/17 7:30,4.356,72.3,0.082,18075.94937
1/1/17 7:40,4.478,72.2,0.083,18063.79747
1/1/17 7:50,4.583,71,0.083,18045.56962
1/1/17 8:00,4.794,72,0.084,18385.82278
1/1/17 8:10,4.807,73.1,0.082,18987.34177
1/1/17 8:20,4.757,73.5,0.083,19576.70886
1/1/17 8:30,4.509,74.5,0.084,19837.97468
1/1/17 8:40,4.346,74.8,0.082,20166.07595
1/1/17 8:50,4.718,73.7,0.081,20676.4557
1/1/17 9:00,4.704,71.8,0.083,21296.20253
1/1/17 9:10,4.624,74.1,0.082,22043.5443
1/1/17 9:20,4.629,74.8,0.083,22651.13924
1/1/17 9:30,4.599,74,0.082,23131.13924
1/1/17 9:40,4.524,74.7,0.081,23641.51899
1/1/17 9:50,4.575,74.5,0.082,24668.35443
1/1/17 10:00,5.124,73.7,0.076,25275.94937
1/1/17 10:10,5.836,71.3,2.66,25920
1/1/17 10:20,5.996,69.85,4.93,26393.92405
1/1/17 10:30,6.22,68.81,4.924,26861.77215
1/1/17 10:40,6.703,68.01,4.923,27511.89873
1/1/17 10:50,6.993,66.14,4.918,28149.87342
1/1/17 11:00,7.54,64.21,4.916,28714.93671
1/1/17 11:10,8.22,61.9,4.916,29043.03797
1/1/17 11:20,9.49,59.3,2.451,29261.77215
1/1/17 11:30,10.65,56.03,0.084,29474.43038
1/1/17 11:40,11.06,53.52,0.082,29523.03797
1/1/17 11:50,12.4,53.26,0.08,29711.39241
1/1/17 12:00,13.08,54.36,0.077,29644.55696
1/1/17 12:10,14.38,54.42,0.076,29802.53165
1/1/17 12:20,15.02,56.46,0.074,29887.59494
1/1/17 12:30,15.55,58.7,0.075,30039.49367
1/1/17 12:40,15.56,59.23,0.076,29966.58228
1/1/17 12:50,15.49,59.3,0.076,29996.96203
1/1/17 13:00,15.57,58.06,0.077,30258.22785
1/1/17 13:10,15.65,58.7,0.077,30404.05063
1/1/17 13:20,15.73,59.33,0.076,30094.17722
1/1/17 13:30,15.68,58.6,0.079,30161.01266
1/1/17 13:40,15.7,55.29,0.074,30318.98734
1/1/17 13:50,15.75,52.45,0.077,30154.93671
1/1/17 14:00,15.83,54.99,0.079,29984.81013
1/1/17 14:10,15.79,56.66,0.076,30021.26582
1/1/17 14:20,15.72,55.86,0.077,30021.26582
1/1/17 14:30,15.8,54.06,0.075,29911.89873
1/1/17 14:40,15.74,55.56,0.075,29747.8481
1/1/17 14:50,15.72,56.69,0.077,29705.31646
1/1/17 15:00,15.64,57.26,0.077,29571.64557
1/1/17 15:10,15.69,57.96,0.074,29553.41772
1/1/17 15:20,15.69,58.93,0.075,29383.29114
1/1/17 15:30,15.6,58.7,0.073,29061.26582
1/1/17 15:40,15.39,57.6,0.075,28885.06329
1/1/17 15:50,15.34,58.7,0.075,28854.68354
1/1/17 16:00,15.33,59.23,0.077,28836.4557
1/1/17 16:10,15.48,57.46,0.074,28708.86076
1/1/17 16:20,15.54,58.3,0.076,28556.96203
1/1/17 16:30,15.53,58.8,0.077,28514.43038
1/1/17 16:40,15.48,57.73,0.075,28666.32911
1/1/17 16:50,15.47,58.23,0.077,29097.72152
1/1/17 17:00,15.44,59.07,0.076,29723.5443
1/1/17 17:10,15.35,59.3,0.077,30871.89873
1/1/17 17:20,15.34,59,0.079,32700.75949
1/1/17 17:30,15.11,59.53,0.076,35793.41772
